0xb3300000 BCHUNK_SPEED_TEXTURE_PACK_LIST_CHUNKS
0xb0300100 BCHUNK_SPEED_TEXTURE_PACK_LIST_CHUNKS_ANIM
0x80134000 BCHUNK_SPEED_ESOLID_LIST_CHUNKS
0x80034100 BCHUNK_SPEED_SCENERY_SECTION
0x00034101 BCHUNK_SPEED_SCENERY_SECTION_HEADER
0x00034102 BCHUNK_SPEED_SCENERY_SECTION_INFOS
0x00034103 BCHUNK_SPEED_SCENERY_SECTION_INSTANCES
0x00034105 BCHUNK_SPEED_SCENERY_SECTION_TREE
0x00034106 BCHUNK_SPEED_SCENERY_SECTION_OVERRIDES
0x00034107 BCHUNK_SPEED_SCENERY_SECTION_PRECULLER_INFO
0x0003410A BCHUNK_SPEED_SCENERY_SECTION_NGBBS
0x00034C03 BCHUNK_SPEED_SCENERY_SECTION_VECTORIZED_INFO
0x0003410D BCHUNK_SPEED_SCENERY_SECTION_LIGHT_TEXTURES
0x0003410E BCHUNK_SPEED_SCENERY_SECTION_VECTORIZED_CULL_INFO
0x0003410F BCHUNK_SPEED_SCENERY_SECTION_VECTORIZED_INSTANCE_INFO
0x00034027 BCHUNK_SPEED_SMOKEABLE_SPAWNER
0x00037260 BCHUNK_SPEED_BBGANIM_INSTANCE_TREE
0x00037250 BCHUNK_SPEED_BBGANIM_INSTANCE_NODE
0x00037240 BCHUNK_SPEED_BBGANIM_KEYFRAMES
0x00037270 BCHUNK_SPEED_BBGANIM_ENDPACKHEADER
0x80135000 BCHUNK_SPEED_ELIGHT_CHUNKS
0x00135001 BCHUNK_SPEED_ELIGHT_CHUNKS_HEADER
0x00135002 BCHUNK_SPEED_ELIGHT_CHUNKS_LIGHTTREE
0x00135003 BCHUNK_SPEED_ELIGHT_CHUNKS_LIGHTS
0x80036000 BCHUNK_SPEED_EMTRIGGER_PACK
0x00036001 BCHUNK_SPEED_EMTRIGGER_PACK_HEADER
0x00036002 BCHUNK_SPEED_EMTRIGGER_PACK_EVENTTREE
0x00036003 BCHUNK_SPEED_EMTRIGGER_PACK_TRIGGERS
0x00037220 BCHUNK_SPEED_BBGANIM_BLOCKHEADER
0x0003bc00 BCHUNK_SPEED_EMITTER_LIBRARY
0x00030201 BCHUNK_FENG_FONT
0x00030210 BCHUNK_FENG_PACKAGE_COMPRESSED
0x00030203 BCHUNK_FENG_PACKAGE
0x00135200 BCHUNK_ELIGHTS
0x00034600 BCHUNK_CARINFO_ARRAY
0x00034601 BCHUNK_CARINFO_SKININFO
0x00034608 BCHUNK_CARINFO_ANIMHOOKUPTABLE
0x00034609 BCHUNK_CARINFO_ANIMHIDETABLES
0x00034607 BCHUNK_CARINFO_SLOTTYPES
0x80034602 BCHUNK_CARINFO_CARPART
0x00034201 BCHUNK_TRACKINFO
0x00034202 BCHUNK_SUN
0x80035000 BCHUNK_ACIDFX
0x80035010 BCHUNK_ACIDFX
0x00035021 BCHUNK_ACIDFX
